accuracy,balanced_accuracy,benchmark,binary_macro_f1,choice_nll,correct,correct_answer_bpb,fn,fp,n,subject,tn,tp
0.2972972972972973,,asep_mcqa,,1.3538710633445863,55,0.11222101920073281,,,185,0,,
0.30833333333333335,,asep_mcqa,,1.372415664121764,74,0.0994673091197715,,,240,1,,
0.29375,,asep_mcqa,,1.377199211891718,47,0.08813878891281432,,,160,2,,
0.31313131313131315,,asep_mcqa,,1.3804623127696112,62,0.10470113198825208,,,198,3,,
0.22033898305084745,,asep_mcqa,,1.3711837637287725,26,0.08499416079458227,,,118,4,,
0.6602564102564102,,asep_mcqa,,1.2225411142422475,103,0.08937651754111492,,,156,5,,
0.2682926829268293,,asep_mcqa,,1.3810249603816012,33,0.14657806541032722,,,123,6,,
0.3389830508474576,,asep_mcqa,,1.3524673610235187,400,0.10047075342406558,,,1180,__all__,,
0.44741235392320533,,demosqa,,1.2835638147893031,268,0.022542488683078184,,,599,__all__,,
0.5876288659793815,0.584804708400214,gpcr,0.584804708400214,0.6931430946408812,114,0.1365586049634201,40,40,194,__all__,65,49
0.4166666666666667,0.375,gpcr,0.37777777777777777,0.7538764234667429,5,0.28653550215303003,4,3,12,art forms,1,4
0.8,0.75,gpcr,0.7619047619047619,0.6777983918466098,4,0.07409746270163503,1,0,5,constructions,3,1
0.6666666666666666,0.6666666666666666,gpcr,0.6666666666666666,0.5872718657407368,4,0.15808372092688616,1,1,6,customs,2,2
0.6666666666666666,0.75,gpcr,0.6666666666666666,0.7167747740503754,2,0.15154431896281878,0,1,3,disability,1,1
0.5925925925925926,0.5916666666666667,gpcr,0.5903448275862069,0.6839834120372639,16,0.23311225911608546,5,6,27,driving,9,7
0.35714285714285715,0.3222222222222222,gpcr,0.3262032085561497,0.7188846693434332,5,0.11104709114169627,5,4,14,everyday objects,1,4
0.42857142857142855,0.41666666666666663,gpcr,0.41666666666666663,0.7199093054363628,3,0.1823030223552844,2,2,7,folklore,2,1
0.5,0.3,gpcr,0.33333333333333326,0.6727188863920607,3,0.0881738321182761,1,2,6,industry,3,0
0.8,0.8333333333333333,gpcr,0.8,0.6167952923038553,4,0.10039592016976484,1,0,5,intelligent systems,2,2
1.0,1.0,gpcr,1.0,0.5700022617316189,2,0.3007060966896798,0,0,2,literature,1,1
0.5,0.5333333333333333,gpcr,0.5,0.6599439016224251,4,0.12100264567380967,1,3,8,local flora,2,2
0.6,0.5982142857142857,gpcr,0.5982142857142857,0.6391844251847743,9,0.19487775510254413,3,3,15,local foods,5,4
0.6875,0.7166666666666667,gpcr,0.6862745098039216,0.6613247588172411,11,0.1702886262909415,1,4,16,local occupations,6,5
0.4,0.41666666666666663,gpcr,0.4,1.0095846322806026,2,0.3520309425570466,2,1,5,local products,1,1
1.0,0.5,gpcr,0.5,0.6536515103743704,3,0.10090992441962025,0,0,3,marine navigation,3,0
0.5,0.4,gpcr,0.3333333333333333,0.7463298572135466,4,0.14262747433977133,3,1,8,places,4,0
0.6176470588235294,0.6176470588235294,gpcr,0.6173160173160174,0.716561967211331,21,0.11137832511536265,7,6,34,safety,11,10
0.6666666666666666,0.625,gpcr,0.625,0.6738742668734873,4,0.09182248710515338,1,1,6,sports,3,1
0.5,0.3333333333333333,gpcr,0.3333333333333333,0.6914869407557293,2,0.1175521353431911,1,1,4,waste management,0,2
0.75,0.6666666666666667,gpcr,0.6666666666666667,0.616046041773422,6,0.1050029100711823,1,1,8,wild life,5,1
0.23627684964200477,,medical_mcqa,,1.6044721255897239,99,0.19023599291280685,,,419,__all__,,
0.3125,,medical_mcqa,,1.5338741489990428,20,0.16759709983970092,,,64,anatomy,,
0.22033898305084745,,medical_mcqa,,1.6514779704254932,13,0.20881186656950712,,,59,gynaecology,,
0.2222222222222222,,medical_mcqa,,1.6306706056247329,8,0.20964935053857536,,,36,pathology,,
0.18309859154929578,,medical_mcqa,,1.6738826339632435,13,0.2073677854015094,,,71,pediatrics,,
0.22950819672131148,,medical_mcqa,,1.6173732462432189,14,0.1966161145053572,,,61,pharmacology,,
0.25862068965517243,,medical_mcqa,,1.5688659755115286,15,0.17077910005284191,,,58,physiology,,
0.22857142857142856,,medical_mcqa,,1.5637838773809491,16,0.188495414479125,,,70,surgery,,
0.38050930460333005,0.47055555555555556,oyxoy_metaphor,0.37022066523098185,0.723053051072544,777,0.6374992261874745,173,1092,2042,__all__,258,519
0.38050930460333005,0.47055555555555556,oyxoy_metaphor,0.37022066523098185,0.723053051072544,777,0.6374992261874745,173,1092,2042,metaphor,258,519
0.2425629290617849,0.5,oyxoy_nli,0.19521178637200737,0.9539929114172394,424,0.6785392211514899,0,1324,1748,Contradiction,0,424
0.42963386727688785,0.5,oyxoy_nli,0.3005202080832333,0.8497751950930847,751,0.640910245489733,0,997,1748,Entailment,0,751
0.408466819221968,0.5,oyxoy_nli,0.29000812347684807,0.7889829054807385,714,0.6243860083380461,0,1034,1748,Unknown,0,714
0.3602212051868802,0.5,oyxoy_nli,0.26482545913360434,0.8642503373303536,1889,0.6479451583264272,0,3355,5244,__all__,0,1889
0.32292454396222586,0.48738966233533776,oyxoy_wic,0.3223563066602445,0.7418326081608514,17508,0.7315084164016714,2607,34102,54217,__all__,7969,9539
0.32292454396222586,0.48738966233533776,oyxoy_wic,0.3223563066602445,0.7418326081608514,17508,0.7315084164016714,2607,34102,54217,same_sense,7969,9539
0.37723772377237724,,oyxoy_wsd_definition,,1.3029405678598862,3772,0.12817951281221324,,,9999,__all__,,
0.37723772377237724,,oyxoy_wsd_definition,,1.3029405678598862,3772,0.12817951281221324,,,9999,definition_selection,,
0.0005720823798627002,,oyxoy_nli_exact_set,,,1,,,,1748,__all__,,
