review_queue_id,source_doc_id,review_tasks,priority_reasons,candidate_error_type_ids,candidate_action,confidence,quality_bin,host,url,chars_before,doc_text_path,review_label,review_true_error_type_ids,review_correct_action,review_good_text_loss_risk,review_false_positive_reason,review_false_negative_error_ids,review_notes
rq_0001_ef7f4d1c98,hplt::10_1.jsonl.zst::2d1495a12d56f9a24d65e5dcf912d2da,"[""destructive_action_review"", ""precision_E014""]","[""candidate_action_drop_doc"", ""candidate_error_E014""]","[""E014""]",drop_doc,1.0,10,docplayer.gr,http://docplayer.gr/7803649-Plirofories-gia-daskaloys-koinonikofs-leitoyrgofs-kai-omades-nzon.html,23698,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/ef7f4d1c98a3e228.txt,,[],,,,[],
rq_0002_c122dcdb03,hplt::10_1.jsonl.zst::2f7ddce3e70619e1ce95c3fc7e11925e,"[""destructive_action_review"", ""precision_E014""]","[""candidate_action_drop_doc"", ""candidate_error_E014""]","[""E014""]",drop_doc,1.0,10,docplayer.gr,http://docplayer.gr/1898387-Dlos-a-d-south-east-europe-programme-see.html,39093,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/c122dcdb03f120f7.txt,,[],,,,[],
rq_0003_b0a7f4edf8,hplt::10_1.jsonl.zst::3a316fa180f7da0df1887da3d3836d42,"[""precision_E007""]","[""candidate_error_E007""]","[""E006"", ""E007"", ""E008"", ""E009""]",quarantine,0.5902765422145617,10,infood.gr,https://infood.gr/kokteil-espresso-martini/,66408,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/b0a7f4edf8970422.txt,,[],,,,[],
rq_0004_997c2c469f,hplt::10_1.jsonl.zst::5fbe0aa4febea49c2471e9b87bc807e7,"[""precision_E007""]","[""candidate_error_E007""]","[""E006"", ""E007"", ""E008"", ""E009""]",quarantine,0.5817906942540821,10,infood.gr,https://infood.gr/zymarika-aglio-e-olio-me-garides/,65552,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/997c2c469f3d61ba.txt,,[],,,,[],
rq_0005_b588183720,hplt::10_1.jsonl.zst::613c7e957f5ac3f0fd4db6edc4f6dc80,"[""precision_E003""]","[""candidate_error_E003""]","[""E003"", ""E015""]",quarantine,0.8564913772738009,10,docplayer.gr,http://docplayer.gr/5527116-Glossario-afirimeni-syntaxi-afirimeno-syntaktiko-dendro-asd-afirimenos-typos-prospelastiki-parapompi-haraktirismos-prospelasimotitas.html,23792,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/b5881837202997d1.txt,,[],,,,[],
rq_0006_645fbd97fc,hplt::10_1.jsonl.zst::653f39dd2b716f076b29eed540934d29,"[""destructive_action_review"", ""precision_E014""]","[""candidate_action_drop_doc"", ""candidate_error_E014""]","[""E014""]",drop_doc,1.0,10,docplayer.gr,http://docplayer.gr/2218008-Kopo-si-dkthdi-pdridhomdna.html,39906,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/645fbd97fc9666c4.txt,,[],,,,[],
rq_0007_d88846e578,hplt::10_1.jsonl.zst::9f039ac48a9cb085e9377fa80b992534,"[""destructive_action_review"", ""precision_E014""]","[""candidate_action_drop_doc"", ""candidate_error_E014""]","[""E014""]",drop_doc,1.0,10,docplayer.gr,http://docplayer.gr/42618513-Praini-vivlo-zreiitha-ke-iel-pnifieia-isl-gesxgithpsl-pxntflisl-pxfippa-pxntflisl-apaiiizeio-gia-ie-gesxgithi-paxagsgi-thai-zpziikaia-pnifieiao.html,29931,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/d88846e5788babe7.txt,,[],,,,[],
rq_0008_9d353edd06,hplt::10_1.jsonl.zst::a0154a81615109d29ca9cfd2e374be3f,"[""precision_E008""]","[""candidate_error_E008""]","[""E006"", ""E007"", ""E008"", ""E009""]",keep,0.45517857142857143,10,www.refurbishstore.gr,https://www.refurbishstore.gr/%CF%80%CE%BF%CE%BB%CE%B9%CF%84%CE%B9%CE%BA%CE%AE-%CE%B1%CF%80%CE%BF%CF%81%CF%81%CE%AE%CF%84%CE%BF%CF%85/,11538,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/9d353edd0673f186.txt,,[],,,,[],
rq_0009_475825d292,hplt::10_1.jsonl.zst::a26d6e31913286cf2dbe1647209cd457,"[""destructive_action_review""]","[""candidate_action_trim_span""]","[""E006"", ""E007"", ""E009""]",trim_span,0.60375,10,www.admin.uoc.gr,https://www.admin.uoc.gr/intrel/empeiries-erasmus-ekserxomenon-foititon?start=22,9758,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/475825d292b12ba8.txt,,[],,,,[],
rq_0010_8051ec2e42,hplt::10_1.jsonl.zst::b430ffebc5f180e23728801ab6f55017,"[""destructive_action_review"", ""precision_E014""]","[""candidate_action_drop_doc"", ""candidate_error_E014""]","[""E014""]",drop_doc,1.0,10,docplayer.gr,http://docplayer.gr/6059500-So-oikologiko-khnos-toy-soyrismof-stthn-ellada.html,47866,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/8051ec2e42dcd12a.txt,,[],,,,[],
rq_0011_9de5607062,hplt::10_1.jsonl.zst::c1bac7161e152506d277be71516f4873,"[""precision_E009""]","[""candidate_error_E009""]","[""E006"", ""E007"", ""E008"", ""E009""]",quarantine,0.5806186059897139,10,infood.gr,https://infood.gr/manouri-se-fyllo-kroustas-me-meli-kai-sousami/,69050,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/9de56070625f9434.txt,,[],,,,[],
